rank,hero,pick_rate,win_rate,ban_rate
1,Masha,0.12%,55.66%,0.47%
2,Gloo,0.59%,55.43%,75.45%
3,Lolita,0.13%,55.38%,1.56%
4,Hanabi,3.46%,54.40%,12.82%
5,Kaja,0.27%,54.35%,3.50%
6,Gord,0.96%,54.06%,0.89%
7,Marcel,0.28%,53.70%,116.54%
8,Sun,1.74%,53.62%,24.82%
9,Floryn,1.07%,53.56%,13.06%
10,Diggie,0.19%,53.49%,18.37%
11,Khufra,0.26%,53.41%,1.72%
12,Hilda,1.03%,53.35%,20.79%
13,Terizla,0.72%,52.97%,0.93%
14,Argus,0.41%,52.97%,1.37%
15,Minotaur,0.49%,52.85%,2.35%
16,Khaleed,0.40%,52.82%,0.68%
17,Estes,0.74%,52.80%,35.99%
18,Silvanna,1.26%,52.76%,2.75%
19,Valir,1.10%,52.73%,2.56%
20,Leomord,0.87%,52.68%,6.36%
21,Harley,1.46%,52.42%,72.95%
22,Minsitthar,0.87%,52.37%,23.06%
23,Popol and Kupa,0.25%,52.32%,0.35%
24,Benedetta,0.50%,52.17%,0.97%
25,Melissa,0.65%,52.05%,1.30%
26,Rafaela,0.32%,52.03%,2.43%
27,Yve,0.13%,51.89%,0.17%
28,Zetian,2.12%,51.87%,24.28%
29,Irithel,0.44%,51.87%,0.35%
30,Carmilla,0.51%,51.78%,1.08%
31,Kadita,0.97%,51.70%,7.88%
32,Atlas,0.46%,51.70%,4.58%
33,Miya,2.58%,51.60%,3.90%
34,Zhask,0.32%,51.57%,0.42%
35,Uranus,0.54%,51.53%,1.06%
36,Phoveus,0.64%,51.32%,1.80%
37,Brody,0.44%,51.18%,0.57%
38,Aamon,0.81%,51.17%,9.98%
39,Edith,0.22%,51.15%,0.11%
40,Aulus,0.74%,51.11%,16.42%
41,Ruby,0.55%,51.06%,0.61%
42,Guinevere,1.30%,51.00%,36.15%
43,Fredrinn,0.79%,50.99%,8.66%
44,Belerick,1.09%,50.93%,5.92%
45,Odette,0.79%,50.91%,0.69%
46,Bane,0.31%,50.91%,0.24%
47,Cyclops,0.81%,50.90%,0.47%
48,Zhuxin,0.56%,50.88%,14.06%
49,Hanzo,0.31%,50.85%,3.67%
50,Clint,0.74%,50.85%,0.92%
51,Baxia,0.15%,50.64%,0.54%
52,Freya,1.23%,50.63%,31.26%
53,Akai,0.52%,50.61%,2.57%
54,Badang,0.91%,50.60%,1.07%
55,Natan,0.46%,50.57%,0.53%
56,Suyou,1.92%,50.55%,16.64%
57,Moskov,1.07%,50.55%,0.44%
58,Johnson,0.84%,50.53%,2.73%
59,Vale,0.74%,50.50%,0.44%
60,Faramis,0.10%,50.47%,0.47%
61,Alice,0.80%,50.46%,13.61%
62,Natalia,0.30%,50.43%,2.21%
63,Obsidia,0.66%,50.42%,1.97%
64,Vexana,1.88%,50.41%,1.71%
65,Kagura,0.63%,50.37%,0.88%
66,Karrie,1.01%,50.13%,6.54%
